dataset,horizon,model,feature_mode,run_tag,MSE,MAE,MAPE,R2,MSE_target,MAE_target,MAPE_target,R2_target,best_val_loss,best_val_r2,trained_epochs,seed,sample_limit,train_samples,val_samples,test_samples,input_size,model_params,train_time_seconds,device,use_validation_best
ETTm1,96,autoformer,univariate,feature_mode_full_seed42,0.04174056276679039,0.1473981738090515,15.429718971252441,0.7331550121307373,0.04174056276679039,0.1473981738090515,15.429718971252441,0.7331550121307373,0.05167700391095341,-0.4579204153478815,21,42,0,34369,11329,23409,1,102465,144.3721673488617,cuda,True
ETTm1,96,informer,multivariate,feature_mode_full_seed42,0.7506722211837769,0.6017577052116394,224.91311645507812,0.4091436266899109,0.23495052754878998,0.37562552094459534,35.58880615234375,-0.5020251274108887,0.631724626914169,0.48387456007218094,11,42,0,34369,11329,23409,7,189159,60.59040093421936,cuda,True
ETTm1,96,informer,univariate,feature_mode_full_seed42,0.05708666145801544,0.17492415010929108,17.187929153442383,0.6350482702255249,0.05708666145801544,0.17492415010929108,17.187929153442383,0.6350482702255249,0.053686920616231606,-0.592607301272703,20,42,0,34369,11329,23409,1,188385,113.50100517272949,cuda,True
ETTm1,96,lstm,multivariate,feature_mode_full_seed42,0.7997037768363953,0.6049447059631348,224.2069549560547,0.3705507516860962,0.15808914601802826,0.3220663070678711,30.975496292114258,-0.010654687881469727,0.7765848820798853,0.42119374435939144,12,42,0,34369,11329,23409,7,509856,45.71498394012451,cuda,True
ETTm1,96,lstm,univariate,feature_mode_full_seed42,0.05482279136776924,0.16637997329235077,17.218425750732422,0.6495210528373718,0.05482279136776924,0.16637997329235077,17.218425750732422,0.6495210528373718,0.05383789578055063,-0.5896734843093357,42,42,0,34369,11329,23409,1,355680,182.0071394443512,cuda,True
ETTm1,96,patchtst,multivariate,feature_mode_full_seed42,0.47566279768943787,0.4412437379360199,215.2935333251953,0.6256043910980225,0.04389667138457298,0.15301869809627533,16.134765625,0.7193711400032043,0.4621528924516078,0.577003910300437,15,42,0,34369,11329,23409,7,100672,61.96337342262268,cuda,True
ETTm1,96,patchtst,univariate,feature_mode_full_seed42,0.05936732888221741,0.18346074223518372,17.97626495361328,0.6204681396484375,0.05936732888221741,0.18346074223518372,17.97626495361328,0.6204681396484375,0.05339495658225725,-0.5635525537340829,14,42,0,34369,11329,23409,1,100672,61.39395809173584,cuda,True
ETTm1,96,transformer,multivariate,feature_mode_full_seed42,0.8570696711540222,0.6428293585777283,261.07257080078125,0.32539790868759155,0.12456978112459183,0.2756747305393219,27.18408966064453,0.20363259315490723,0.5895860325754358,0.5199979925423526,11,42,0,34369,11329,23409,7,303392,43.80691456794739,cuda,True
ETTm1,96,transformer,univariate,feature_mode_full_seed42,0.05390056222677231,0.1656099110841751,17.284534454345703,0.6554168462753296,0.05390056222677231,0.1656099110841751,17.284534454345703,0.6554168462753296,0.056342269241642415,-0.6592334783479069,16,42,0,34369,11329,23409,1,228320,67.06394147872925,cuda,True
ETTm1,168,autoformer,multivariate,feature_mode_full_seed42,0.4997222125530243,0.47294214367866516,226.70729064941406,0.6062297224998474,0.07377701252698898,0.2057986557483673,22.67987632751465,0.5282856225967407,0.500810671936382,0.5253473269668493,13,42,0,34297,11257,23337,7,117207,84.65883350372314,cuda,True
ETTm1,168,autoformer,univariate,feature_mode_full_seed42,0.05513116344809532,0.1704394370317459,18.54314422607422,0.6475031971931458,0.05513116344809532,0.1704394370317459,18.54314422607422,0.6475031971931458,0.07419522399802438,-0.8581560674038801,21,42,0,34297,11257,23337,1,116433,142.67571640014648,cuda,True
ETTm1,168,informer,multivariate,feature_mode_full_seed42,0.8452343344688416,0.6359066367149353,245.51654052734375,0.33397364616394043,0.44494274258613586,0.4977334439754486,45.88276290893555,-1.8448679447174072,0.681616962548684,0.44323349540883844,11,42,0,34297,11257,23337,7,196143,61.64029097557068,cuda,True
ETTm1,168,informer,univariate,feature_mode_full_seed42,0.10262592136859894,0.23643313348293304,22.979063034057617,0.34383195638656616,0.10262592136859894,0.23643313348293304,22.979063034057617,0.34383195638656616,0.07656416716054082,-0.9490160285071894,15,42,0,34297,11257,23337,1,195369,86.1851589679718,cuda,True
ETTm1,168,lstm,multivariate,feature_mode_full_seed42,0.9620694518089294,0.6596105694770813,227.392822265625,0.24191009998321533,0.17607101798057556,0.327370285987854,33.30473327636719,-0.12576019763946533,0.8824335009875622,0.3358470452102748,11,42,0,34297,11257,23337,7,639384,41.73391604423523,cuda,True
ETTm1,168,lstm,univariate,feature_mode_full_seed42,0.07739044725894928,0.20910924673080444,21.813812255859375,0.505182147026062,0.07739044725894928,0.20910924673080444,21.813812255859375,0.505182147026062,0.0765310153259303,-1.0007715435190634,19,42,0,34297,11257,23337,1,374184,81.03967189788818,cuda,True
ETTm1,168,patchtst,multivariate,feature_mode_full_seed42,0.49321964383125305,0.4573090374469757,213.34803771972656,0.6113536357879639,0.06916838884353638,0.19483081996440887,20.721588134765625,0.557752251625061,0.5471350686116652,0.5105427266521887,14,42,0,34297,11257,23337,7,123856,66.74220633506775,cuda,True
